iso_code,Country,Cases
FRA,France,40138560
DEU,Germany,38828995
ITA,Italy,26723249
GBR,United Kingdom,24910387
RUS,Russia,24124215
ESP,Spain,13914811
NLD,Netherlands,8635786
POL,Poland,6661991
GRC,Greece,6101379
AUT,Austria,6081287
PRT,Portugal,5643062
UKR,Ukraine,557995
BEL,Belgium,4861695
CZE,Czech Republic,4759041
CHE,Switzerland,4453053
ROU,Romania,3529735
DNK,Denmark,3183756
SWE,Sweden,2754129
SRB,Serbia,2615054
HUN,Hungary,2230232
SVK,Slovakia,1877605
IRL,Republic of Ireland,1734582
FIN,Finland,1516117
NOR,Norway,1509732
LTU,Lithuania,1397806
SVN,Slovenia,1356546
BGR,Bulgaria,1339851
HRV,Croatia,1309728
BLR,Belarus,994037
LVA,Latvia,982505
MDA,Moldova,635145
EST,Estonia,403615
BIH,Bosnia and Herzegovina,391232
LUX,Luxembourg,350567
MKD,North Macedonia,334863
ALB,Albania,292542
MNE,Montenegro,209906
ISL,Iceland,121420
MLT,Malta,101717
JEY,Jersey,48015
AND,Andorra,38008
IMN,Isle of Man,34658
FRO,Faroe Islands,26185
SMR,San Marino,21574
LIE,Liechtenstein,20550
GIB,Gibraltar,20550
MCO,Monaco,17181
VAT,Vatican City,29
